#"Time (ps)","Potential Energy (kJ/mole)","Temperature (K)"
0.4000000000000003,-1547466.5,100.11545205392385
0.8000000000000006,-1487488.0,164.033121170776
1.2000000000000008,-1444086.875,205.54776547509132
1.6000000000000012,-1410419.5,232.4144401931498
2.0000000000000013,-1385230.0,250.15100350503272
2.4000000000000017,-1366007.25,262.4043360878536
2.800000000000002,-1348914.25,270.74324310138275
3.2000000000000024,-1336821.0,278.61105369321655
3.6000000000000028,-1327235.0,282.68878981102307
4.000000000000003,-1319614.25,287.16100770475157
4.399999999999959,-1312956.75,289.7176409627748
4.799999999999915,-1307224.75,292.85169071175903
5.1999999999998705,-1302472.75,293.45183049996774
5.5999999999998264,-1299649.875,296.52552767675246
5.999999999999782,-1296987.625,297.357264201826
6.399999999999738,-1295757.75,299.1676603295811
6.799999999999694,-1294082.125,298.228912467065
7.19999999999965,-1291936.5,299.5520812780436
7.599999999999606,-1292565.125,301.1546349449142
7.999999999999562,-1292175.5,301.3370567243345
8.399999999999519,-1290832.25,300.84344396053314
8.799999999999475,-1292253.25,302.06811965412396
9.19999999999943,-1292179.25,301.38874916464346
9.599999999999387,-1293175.0,301.03363951605377
9.999999999999343,-1291428.375,298.5234422202598
10.399999999999299,-1293855.25,300.7179281436803
10.799999999999255,-1294029.5,301.44171474764687
11.19999999999921,-1291742.25,300.2147175834325
11.599999999999167,-1293334.0,302.38698486814843
11.999999999999122,-1291614.75,301.3967948691644
12.399999999999078,-1292437.625,301.28312018216786
12.799999999999034,-1293137.0,302.17519549196106
13.19999999999899,-1292647.75,302.39540795416656
13.599999999998946,-1291799.625,301.1383182935255
13.999999999998902,-1290776.0,301.27092754356744
14.399999999998858,-1292627.125,300.8487514569784
14.799999999998814,-1293373.875,300.75470887327117
15.19999999999877,-1293932.0,301.10645471930223
15.599999999998726,-1294007.25,300.36433356615964
15.999999999998682,-1294191.0,300.91547750149
16.399999999998816,-1294300.375,301.70507661558315
16.79999999999895,-1294584.125,300.52143805420434
17.199999999999083,-1293265.5,301.1085975816503
17.599999999999216,-1294346.25,300.79077784889097
17.99999999999935,-1293558.0,300.18095911667757
18.399999999999483,-1294812.5,302.1090429326285
18.799999999999617,-1292110.0,300.03362569728375
19.19999999999975,-1294641.375,300.06214629473834
19.599999999999884,-1294430.75,300.7880497477191
20.000000000000018,-1295015.75,299.78675876585453
20.40000000000015,-1297119.625,301.40729963333246
20.800000000000285,-1295848.5,299.7431196028505
21.20000000000042,-1296380.125,299.70942362598254
21.600000000000552,-1295427.75,299.37898748638236
22.000000000000686,-1296706.5,300.67063445056937
22.40000000000082,-1296782.125,300.7385800742732
22.800000000000953,-1296224.375,298.8906583489463
23.200000000001086,-1296810.5,300.19756458184463
23.60000000000122,-1296538.125,299.42048045149795
24.000000000001354,-1297013.375,300.2508434629667
24.400000000001487,-1296160.0,299.98379477715997
24.80000000000162,-1296830.25,301.04191419027194
25.200000000001754,-1296138.125,301.29427606147254
25.600000000001888,-1295683.25,301.01632336799435
26.00000000000202,-1295629.5,299.9224317974928
26.400000000002155,-1295775.75,301.51547545288724
26.80000000000229,-1295434.5,301.0954758167151
27.200000000002422,-1295732.375,302.6536671618302
27.600000000002556,-1294952.375,300.00715842665625
28.00000000000269,-1295080.625,299.68218220717375
28.400000000002823,-1295367.0,299.7237833237177
28.800000000002957,-1296272.75,300.9216519661729
29.20000000000309,-1297384.125,301.4547048895175
29.600000000003224,-1296047.375,298.9639347111481
30.000000000003357,-1295505.125,301.0596229917624
30.40000000000349,-1295571.875,301.53005648616204
30.800000000003624,-1296114.5,302.40955218185627
31.200000000003758,-1297020.625,300.9288273811132
31.60000000000389,-1297053.125,300.9330858602074
32.00000000000402,-1295441.125,301.9088749171796
32.4000000000038,-1297034.25,303.141206963532
32.80000000000358,-1296564.75,301.0062052241212
33.20000000000336,-1295526.625,300.27688044563155
33.600000000003135,-1296316.0,301.8738278404863
34.00000000000291,-1296913.375,300.43686160113737
34.40000000000269,-1297593.75,301.33244727631416
34.80000000000247,-1296503.75,299.691710076923
35.20000000000225,-1297737.75,299.9977052251466
35.60000000000203,-1296809.75,300.6548073986296
36.000000000001805,-1296147.875,301.29642839321673
36.40000000000158,-1297454.25,301.1008169551461
36.80000000000136,-1297849.75,300.6711435564992
37.20000000000114,-1298511.0,302.2177273207366
37.60000000000092,-1296372.0,299.91602313972015
38.000000000000696,-1295557.5,299.06231143623484
38.400000000000475,-1297287.25,301.834286919218
38.80000000000025,-1296924.625,301.505065665609
39.20000000000003,-1296637.75,302.68567205830743
39.59999999999981,-1295203.5,300.9320927884068
39.99999999999959,-1297146.875,302.3899187123309
